# Eigenvalor 0 =     0.4999
 # X      Psi(x)     |Psi(x)|^2
  -4.7139999864157289        1.0482497597640823E-005   1.0988275588454563E-010
  -4.7129999863682315        1.0538853923551784E-005   1.1106744202196284E-010
  -4.7119999863207340        1.0595433805711831E-005   1.1226321753122110E-010
  -4.7109999862732366        1.0652238344464085E-005   1.1347018174727095E-010
  -4.7099999862257391        1.0709268643867750E-005   1.1468843488652899E-010
  -4.7089999861782417        1.0766525811715498E-005   1.1591807805433606E-010
  -4.7079999861307442        1.0824010959550879E-005   1.1715921325247754E-010
  -4.7069999860832468        1.0881725202685783E-005   1.1841194338676696E-010
  -4.7059999860357493        1.0939669660217947E-005   1.1967637227469305E-010
  -4.7049999859882519        1.0997845455048483E-005   1.2095260465313058E-010
  -4.7039999859407544        1.1056253713899471E-005   1.2224074618611583E-010
  -4.7029999858932570        1.1114895567331567E-005   1.2354090347268694E-010
  -4.7019999858457595        1.1173772149761693E-005   1.2485318405479003E-010
  -4.7009999857982621        1.1232884599480711E-005   1.2617769642525093E-010
  -4.6999999857507646        1.1292234058671197E-005   1.2751455003581378E-010
  -4.6989999857032672        1.1351821673425225E-005   1.2886385530524667E-010
  -4.6979999856557697        1.1411648593762180E-005   1.3022572362751435E-010
  -4.6969999856082723        1.1471715973646666E-005   1.3160026738002008E-010
  -4.6959999855607748        1.1532024971006390E-005   1.3298759993191493E-010
  -4.6949999855132774        1.1592576747750151E-005   1.3438783565247747E-010
  -4.6939999854657799        1.1653372469785824E-005   1.3580108991956215E-010
  -4.6929999854182824        1.1714413307038410E-005   1.3722747912811857E-010
  -4.6919999853707850        1.1775700433468142E-005   1.3866712069878178E-010
  -4.6909999853232875        1.1837235027088596E-005   1.4012013308653317E-010
  -4.6899999852757901        1.1899018269984894E-005   1.4158663578943432E-010
  -4.6889999852282926        1.1961051348331900E-005   1.4306674935743238E-010
  -4.6879999851807952        1.2023335452412509E-005   1.4456059540123952E-010
  -4.6869999851332977        1.2085871776635954E-005   1.4606829660128551E-010
  -4.6859999850858003        1.2148661519556153E-005   1.4758997671674442E-010
  -4.6849999850383028        1.2211705883890118E-005   1.4912576059463653E-010
  -4.6839999849908054        1.2275006076536400E-005   1.5067577417900552E-010
  -4.6829999849433079        1.2338563308593591E-005   1.5224014452017203E-010
  -4.6819999848958105        1.2402378795378850E-005   1.5381899978406293E-010
  -4.6809999848483130        1.2466453756446492E-005   1.5541246926161886E-010
  -4.6799999848008156        1.2530789415606613E-005   1.5702068337827872E-010
  -4.6789999847533181        1.2595387000943779E-005   1.5864377370354351E-010
  -4.6779999847058207        1.2660247744835739E-005   1.6028187296061840E-010
  -4.6769999846583232        1.2725372883972198E-005   1.6193511503613491E-010
  -4.6759999846108258        1.2790763659373643E-005   1.6360363498995342E-010
  -4.6749999845633283        1.2856421316410193E-005   1.6528756906504640E-010
  -4.6739999845158309        1.2922347104820514E-005   1.6698705469746311E-010
  -4.6729999844683334        1.2988542278730793E-005   1.6870223052637732E-010
  -4.6719999844208360        1.3055008096673728E-005   1.7043323640421660E-010
  -4.6709999843733385        1.3121745821607600E-005   1.7218021340687650E-010
  -4.6699999843258411        1.3188756720935355E-005   1.7394330384401751E-010
  -4.6689999842783436        1.3256042066523779E-005   1.7572265126944801E-010
  -4.6679999842308462        1.3323603134722691E-005   1.7751840049159233E-010
  -4.6669999841833487        1.3391441206384193E-005   1.7933069758404452E-010
  -4.6659999841358513        1.3459557566881967E-005   1.8115968989620960E-010
  -4.6649999840883538        1.3527953506130624E-005   1.8300552606403183E-010
  -4.6639999840408564        1.3596630318605107E-005   1.8486835602081162E-010
  -4.6629999839933589        1.3665589303360147E-005   1.8674833100811128E-010
  -4.6619999839458615        1.3734831764049738E-005   1.8864560358674965E-010
  -4.6609999838983640        1.3804359008946715E-005   1.9056032764788834E-010
  -4.6599999838508666        1.3874172350962323E-005   1.9249265842420740E-010
  -4.6589999838033691        1.3944273107665888E-005   1.9444275250117407E-010
  -4.6579999837558717        1.4014662601304518E-005   1.9641076782840350E-010
  -4.6569999837083742        1.4085342158822840E-005   1.9839686373111208E-010
  -4.6559999836608768        1.4156313111882826E-005   2.0040120092166562E-010
  -4.6549999836133793        1.4227576796883625E-005   2.0242394151122130E-010
  -4.6539999835658818        1.4299134554981481E-005   2.0446524902146542E-010
  -4.6529999835183844        1.4370987732109697E-005   2.0652528839644741E-010
  -4.6519999834708869        1.4443137678998633E-005   2.0860422601451002E-010
  -4.6509999834233895        1.4515585751195778E-005   2.1070222970031791E-010
  -4.6499999833758920        1.4588333309085871E-005   2.1281946873698432E-010
  -4.6489999833283946        1.4661381717911055E-005   2.1495611387829650E-010
  -4.6479999832808971        1.4734732347791115E-005   2.1711233736104189E-010
  -4.6469999832333997        1.4808386573743742E-005   2.1928831291743393E-010
  -4.6459999831859022        1.4882345775704873E-005   2.2148421578764069E-010
  -4.6449999831384048        1.4956611338549067E-005   2.2370022273241454E-010
  -4.6439999830909073        1.5031184652109941E-005   2.2593651204582547E-010
  -4.6429999830434099        1.5106067111200653E-005   2.2819326356809802E-010
